Age,Sex,Religion
65,Female,Muslim
33,Male,Hindu
75,Male,Christian
46,Female,Christian
75,Female,Christian
50,Male,No religion
65,Female,Christian
29,Female,No religion
61,Male,Christian
55,Female,Muslim
77,Female,Christian
19,Male,Christian
57,Female,Christian
56,Female,Muslim
50,Male,No religion
77,Male,Christian
75,Male,Christian
47,Male,No religion
32,Male,Christian
30,Female,Christian
40,Male,Christian
62,Male,Muslim
42,Male,No religion
55,Male,No religion
24,Male,Not answered
45,Female,Christian
18,Female,Not answered
31,Female,Muslim
32,Female,Christian
18,Male,Not answered
24,Male,No religion
38,Male,Christian
74,Female,No religion
75,Male,No religion
36,Female,Christian
56,Female,Muslim
68,Female,Muslim
56,Male,Christian
73,Male,No religion
62,Male,No religion
29,Male,No religion
43,Female,Christian
74,Female,No religion
69,Female,No religion
82,Female,Christian
60,Female,Christian
26,Male,Christian
29,Male,Christian
32,Female,Christian
73,Female,No religion
33,Male,Christian
71,Male,No religion
33,Male,No religion
79,Female,Not answered
39,Female,Not answered
47,Female,Sikh
56,Male,Christian
19,Female,Christian
29,Male,Christian
76,Female,Muslim
43,Female,No religion
71,Female,Christian
31,Female,No religion
54,Female,Christian
83,Male,Muslim
82,Female,Christian
65,Male,No religion
75,Female,Christian
68,Male,Christian
32,Male,No religion
18,Male,Christian
63,Male,Christian
48,Female,Christian
23,Female,Christian
44,Male,No religion
45,Male,No religion
58,Female,Christian
84,Female,Christian
37,Female,Christian
80,Female,Christian
64,Male,Christian
53,Male,No religion
82,Female,Christian
23,Male,No religion
63,Male,Christian
76,Female,No religion
54,Female,Christian
51,Male,Sikh
32,Male,Christian
72,Male,No religion
60,Female,Christian
30,Female,Christian
88,Female,Christian
18,Female,Christian
27,Male,Christian
51,Male,Not answered
28,Female,Christian
54,Female,No religion
71,Female,No religion
22,Male,Christian
35,Male,No religion
34,Male,No religion
71,Female,No religion
32,Female,Christian
55,Female,Christian
64,Male,Muslim
29,Male,No religion
28,Male,Muslim
66,Male,Christian
31,Male,Christian
27,Male,Muslim
33,Male,Christian
53,Male,Christian
65,Male,Christian
27,Male,No religion
53,Female,Christian
89,Male,Christian
52,Male,Christian
51,Male,Christian
34,Male,Christian
29,Female,No religion
28,Female,No religion
23,Male,Muslim
28,Female,No religion
88,Female,Christian
70,Male,Christian
90,Male,Hindu
29,Female,No religion
55,Male,No religion
42,Female,Christian
85,Female,Christian
62,Male,No religion
19,Female,Christian
53,Female,Muslim
50,Male,No religion
57,Female,No religion
19,Male,No religion
67,Male,Christian
58,Female,Hindu
55,Female,Not answered
47,Female,Christian
53,Female,No religion
26,Female,No religion
33,Female,Christian
28,Male,Christian
36,Male,Christian
55,Male,No religion
72,Male,No religion
82,Female,No religion
60,Female,Muslim
34,Male,Buddhist
68,Male,No religion
32,Male,Christian
39,Male,Muslim
85,Male,No religion
43,Male,Sikh
66,Female,No religion
23,Male,No religion
88,Female,No religion
26,Female,No religion
58,Female,Christian
47,Female,Muslim
58,Male,Christian
37,Female,No religion
68,Female,Christian
82,Male,Christian
47,Female,Christian
73,Female,Not answered
64,Male,Muslim
30,Female,No religion
61,Male,Sikh
60,Male,Christian
90,Female,No religion
53,Male,No religion
44,Male,Christian
47,Male,Christian
90,Female,Not answered
39,Female,Christian
56,Female,Christian
30,Female,Christian
60,Male,Hindu
39,Female,Christian
43,Male,Christian
60,Male,No religion
59,Female,No religion
39,Female,Christian
60,Female,Christian
38,Female,No religion
56,Male,Christian
90,Male,No religion
34,Female,Christian
66,Male,No religion
35,Male,Jewish
55,Female,Christian
52,Male,No religion
52,Female,No religion
78,Male,Muslim
24,Male,No religion
18,Female,Christian
43,Female,Christian
41,Male,Christian
46,Female,Christian
45,Male,No religion
25,Female,Christian
31,Female,Christian
70,Female,Not answered
38,Male,No religion
50,Female,Sikh
64,Female,Not answered
52,Male,No religion
74,Female,Christian
48,Male,Christian
40,Male,Christian
42,Female,No religion
53,Male,No religion
64,Male,Hindu
22,Male,No religion
30,Female,Hindu
26,Female,No religion
65,Female,Muslim
64,Male,Christian
42,Male,Christian
51,Female,Christian
28,Female,No religion
39,Male,Christian
56,Male,Christian
21,Female,Christian
51,Female,No religion
57,Male,Muslim
55,Male,No religion
18,Female,Christian
65,Female,Christian
72,Female,No religion
60,Male,Christian
32,Male,No religion
55,Female,Christian
26,Female,Other religion
25,Male,Christian
26,Female,Not answered
26,Male,Sikh
54,Female,Christian
52,Female,Christian
45,Male,No religion
19,Male,No religion
45,Male,Christian
56,Female,No religion
33,Female,Buddhist
19,Male,No religion
55,Female,Christian
20,Male,Christian
64,Female,No religion
67,Female,Christian
64,Male,Sikh
50,Female,Christian
58,Female,Christian
75,Male,Christian
24,Male,No religion
87,Female,Christian
73,Male,Christian
20,Female,Christian
44,Male,Muslim
46,Male,No religion
56,Female,No religion
42,Female,Christian
58,Male,Christian
58,Male,Christian
22,Male,Christian
37,Male,Christian
70,Male,Christian
57,Male,Christian
33,Female,Not answered
66,Female,No religion
35,Female,Christian
37,Male,No religion
72,Female,Not answered
55,Male,Not answered
43,Male,Christian
36,Female,No religion
66,Male,Christian
79,Male,Christian
27,Female,Not answered
60,Male,Christian
79,Male,Christian
59,Male,Muslim
52,Male,Not answered
65,Female,Christian
43,Female,No religion
54,Female,Christian
90,Female,Muslim
21,Male,Christian
77,Male,Christian
51,Male,No religion
27,Female,Christian
25,Male,Christian
75,Male,Christian
61,Female,Christian
24,Male,Christian
24,Male,Christian
27,Male,Christian
77,Male,Christian
25,Male,No religion
46,Female,Christian
32,Male,Christian
65,Female,Christian
64,Male,No religion
77,Female,No religion
53,Male,No religion
34,Female,Christian
45,Female,Christian
48,Female,Christian
49,Male,Not answered
25,Female,No religion
41,Female,Muslim
77,Female,Christian
50,Male,Not answered
63,Female,Muslim
42,Male,No religion
73,Female,Christian
53,Female,No religion
41,Female,No religion
74,Male,Not answered
90,Female,Not answered
18,Female,No religion
81,Female,No religion
22,Male,Muslim
38,Female,Christian
48,Male,No religion
86,Female,Christian
24,Male,Christian
79,Male,Christian
53,Male,No religion
82,Male,Christian
29,Male,Christian
52,Male,Christian
29,Male,No religion
78,Female,No religion
48,Female,Christian
63,Male,Christian
89,Male,Christian
43,Female,No religion
53,Male,Christian
49,Female,Christian
52,Female,No religion
49,Female,Christian
77,Female,Christian
23,Female,Christian
35,Female,Christian
85,Male,Christian
43,Male,No religion
66,Male,Christian
48,Female,Christian
65,Female,Muslim
33,Male,No religion
39,Female,No religion
80,Female,Christian
38,Male,Hindu
33,Male,Muslim
61,Male,Christian
40,Male,No religion
24,Female,Not answered
90,Female,No religion
41,Female,No religion
78,Female,Christian
29,Male,Christian
18,Male,Christian
35,Male,Hindu
34,Female,Christian
76,Male,Christian
76,Male,Christian
70,Female,No religion
69,Female,Muslim
20,Male,Christian
68,Male,No religion
56,Male,No religion
30,Male,Christian
29,Female,Christian
32,Female,Christian
33,Female,No religion
24,Female,Christian
61,Female,Christian
59,Female,No religion
56,Female,Muslim
49,Female,No religion
73,Male,Not answered
51,Female,Christian
23,Male,Christian
38,Female,Christian
79,Female,Not answered
64,Female,Christian
40,Female,No religion
62,Male,No religion
22,Male,No religion
88,Male,Muslim
33,Male,No religion
52,Male,No religion
57,Male,No religion
39,Female,Christian
55,Female,Christian
58,Male,No religion
62,Female,No religion
35,Male,Hindu
61,Male,No religion
33,Male,Christian
38,Male,Muslim
36,Female,No religion
72,Female,Christian
69,Female,Christian
82,Female,Muslim
61,Male,Not answered
40,Female,Christian
59,Female,No religion
85,Male,Christian
42,Female,Christian
78,Female,Christian
39,Male,No religion
60,Female,No religion
67,Female,No religion
48,Female,No religion
31,Male,No religion
20,Female,No religion
56,Female,No religion
62,Male,No religion
77,Male,Christian
32,Female,Christian
56,Male,No religion
74,Female,No religion
59,Male,No religion
50,Male,Hindu
31,Female,No religion
39,Male,No religion
28,Female,Christian
52,Female,Hindu
57,Male,Christian
85,Male,No religion
31,Male,No religion
65,Male,Christian
48,Male,No religion
70,Female,Christian
63,Female,Christian
33,Male,No religion
55,Male,No religion
22,Female,Christian
90,Female,Christian
34,Male,Not answered
78,Female,No religion
43,Male,Christian
43,Female,Christian
75,Female,No religion
28,Female,No religion
48,Male,No religion
37,Female,Christian
85,Female,No religion
42,Female,Christian
71,Male,No religion
25,Female,Not answered
20,Male,Christian
30,Male,Muslim
30,Male,No religion
30,Male,No religion
90,Female,Christian
31,Male,No religion
37,Female,Christian
46,Male,No religion
62,Male,No religion
40,Male,Hindu
82,Female,No religion
46,Female,Not answered
24,Female,Muslim
57,Female,Muslim
64,Female,Christian
22,Male,Christian
87,Male,Christian
46,Female,Christian
26,Male,Muslim
77,Male,Christian
42,Male,Christian
20,Male,No religion
