respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_vacdisc,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
587,34,Female,No religion,Single,Yes,None,1,NA,,20260909002,-9.57191,-0.925722,-8.99127,-1.79882,-10.5132,-0.237109,0.00852374,-0.0232649,-0.303626,0.042264500000000003,1.17408,0.704339,0.645257,1.00827,2.0826,1.86187,0.544188,1.27677,1.40833,2.20058,7.72229,-0.182305,-0.139793,-0.253772,-0.703276,-1.40243,-3.16716,-0.198796
588,31,Female,Christian,Divorced,No,Bereaved,2,NA,,20260909002,-10.6978,-0.918172,-9.91302,-1.9352,-11.2866,-0.24272,-0.168817,0.011938,-0.01967,-0.227459,1.23978,0.621016,0.515183,0.828783,1.76558,1.80141,0.544712,1.18177,1.18139,1.96143,8.72753,-0.122583,-0.0695439,-0.192285,-0.600574,-1.37384,-3.09582,-0.18276
589,77,Male,Not answered,Married,No,None,1,NA,,20260909002,-9.33496,-0.784358,-8.70324,-1.84059,-10.0111,-0.165642,-0.0983489,-0.0677049,-0.0282609,-0.271118,0.809134,0.328004,0.430805,0.699325,1.59243,1.70497,0.402223,1.22365,1.21616,2.14908,7.57106,-0.176931,-0.126946,-0.28165,-0.693416,-1.36009,-3.1095,-0.17243
590,75,Female,Christian,Married,No,Bereaved,3,NA,,20260909002,-11.6685,-1.15849,-10.8355,-2.06426,-12.2008,-0.205389,-0.154652,0.0529155,0.0176322,-0.238455,1.1185,0.579758,0.485761,0.768749,1.95207,2.09972,0.813907,1.30501,1.39888,2.32036,9.46349,-0.15717,-0.0853259,-0.266359,-0.672617,-1.44519,-3.1563,-0.155406
591,67,Female,Christian,Widowed,Yes,None,1,NA,,20260909002,-10.7899,-0.881058,-10.1365,-1.83085,-11.4968,-0.282468,-0.160181,0.0206645,-0.0236422,-0.350927,1.211,0.681019,0.543485,0.816156,2.11075,1.81323,0.514827,1.15518,1.18992,2.18568,8.93135,-0.162243,-0.117259,-0.204073,-0.639916,-1.43132,-3.14083,-0.21193
592,29,Male,Christian,Single,No,None,2,5,Institutional Trust and Technocratic Governance,20260909002,-11.1557,-0.951986,-10.48,-1.94586,-11.6014,-0.313986,-0.15342,0.0983773,-0.00661611,-0.333377,1.19273,0.517508,0.473455,0.706345,1.72228,1.91694,0.675394,1.31117,1.45397,2.16711,9.17994,-0.175392,-0.116882,-0.2361,-0.671143,-1.39707,-3.10683,-0.181701
593,37,Female,Hindu,Married,Yes,None,4,NA,,20260909002,-10.2699,-0.846994,-9.66111,-1.84658,-10.9784,-0.137918,0.037303,0.128499,0.222638,0.0290644,0.97929600000000006,0.4466,0.447044,0.583137,1.7117,1.60162,0.334958,1.08819,0.908121,1.79908,8.45097,-0.176576,-0.125592,-0.22213,-0.651892,-1.38822,-3.17204,-0.200603
594,27,Female,Christian,Married,Yes,Had COVID,1,NA,,20260909002,-10.2386,-0.870612,-9.62309,-2.01704,-10.8439,-0.419619,-0.292505,-0.0489085,-0.115517,-0.323616,0.97894,0.478371,0.537596,0.898399,1.7128,1.92342,0.595482,1.31559,1.48584,1.89853,8.37137,-0.215314,-0.127105,-0.251541,-0.658164,-1.38054,-3.1107,-0.186901
595,34,Female,No religion,Single,No,Had COVID,3,4,Conspiracy Ideation,20260909002,-10.7329,-0.768292,-10.071,-1.82407,-11.384,-0.0858985,0.0431615,0.022248,-0.12884,-0.175647,0.785257,0.248609,0.344066,0.694001,1.51088,1.48129,0.182461,1.08443,1.12757,1.78053,8.97319,-0.188808,-0.161549,-0.228831,-0.635322,-1.33119,-3.04358,-0.201386
596,52,Male,No religion,Married,Yes,Had COVID,4,NA,,20260909002,-10.0277,-0.639313,-9.57074,-1.72652,-10.7708,-0.370427,-0.190103,-0.0275207,-0.1882,-0.333466,0.702724,0.208462,0.382631,0.679895,1.47985,1.66408,0.327611,1.12906,1.25899,1.84178,8.47005,-0.1781,-0.17914,-0.216438,-0.620635,-1.37972,-3.12841,-0.193686
597,57,Female,Christian,Married,No,Bereaved,3,NA,,20260909002,-8.83521,-0.949996,-8.19508,-1.87271,-9.58431,-0.0250539,-0.00936211,-0.00461872,0.11047,-0.0497761,1.13416,0.705309,0.734929,0.992201,1.87145,1.73689,0.561273,1.28211,1.30644,2.0115,6.92591,-0.17807,-0.137019,-0.274674,-0.683777,-1.37904,-3.08217,-0.187577
598,40,Male,No religion,Married,No,None,1,NA,,20260909002,-10.436,-0.818761,-9.9471,-1.92369,-11.2508,-0.217291,-0.129203,0.0923747,0.0515198,-0.135339,1.04278,0.469232,0.518039,0.631761,1.77904,1.68935,0.471914,1.22424,1.2625,2.03499,8.67477,-0.152267,-0.125085,-0.267739,-0.677686,-1.37629,-3.12998,-0.158966
599,86,Male,No religion,Married,No,Had COVID,1,NA,,20260909002,-10.3236,-0.968769,-9.46671,-2.02425,-11.1076,-0.0488974,-0.0316139,0.0198731,0.138079,-0.0592946,1.22586,0.566128,0.530232,0.922273,2.09224,1.73742,0.444558,1.18528,1.23236,2.21861,8.24279,-0.159387,-0.144115,-0.269898,-0.673808,-1.38193,-3.10842,-0.183281
600,50,Female,Christian,Married,Yes,None,1,NA,,20260909002,-9.81706,-0.821779,-9.25579,-2.20703,-10.4052,-0.0462872,-0.0502402,0.086898,0.0942902,-0.135073,1.0417,0.432984,0.612192,0.889589,1.59034,1.75846,0.512526,1.27187,1.65917,2.04461,7.91413,-0.173469,-0.0767701,-0.254191,-0.63265,-1.42058,-3.14674,-0.221437
601,51,Female,Not answered,Married,No,Bereaved,1,NA,,20260909002,-12.0873,-0.834705,-11.5184,-1.96929,-12.6214,-0.259002,-0.133394,0.0945575,0.097015,-0.195475,1.13097,0.470978,0.490504,0.731227,1.77709,1.85529,0.575557,1.27194,1.39203,1.93771,10.2482,-0.165531,-0.121619,-0.234468,-0.659889,-1.413,-3.09812,-0.207437
602,49,Male,Christian,Married,No,None,3,NA,,20260909002,-11.8481,-0.999658,-11.1973,-1.87126,-12.7931,-0.0729905,0.082036799999999993,0.165461,0.0520424,0.0198187,1.10871,0.715564,0.531127,0.843005,2.13814,1.7941,0.530582,1.1659,1.30674,2.11471,10.0199,-0.185854,-0.130819,-0.280798,-0.717753,-1.34641,-3.15373,-0.201063
603,22,Female,Christian,Married,No,Bereaved,3,NA,,20260909002,-7.56821,-0.758604,-7.02275,-1.83739,-8.30003,-0.145597,-0.0637349,0.0551765,5.62985e-4,0.057888,1.05174,0.502178,0.393082,0.771335,1.70321,1.57129,0.412635,1.14159,1.21657,1.7167,5.81037,-0.226064,-0.17442,-0.249211,-0.691445,-1.39546,-3.15709,-0.226838
604,59,Female,No religion,Divorced,No,Had COVID,4,NA,,20260909002,-9.41986,-0.878138,-8.88089,-2.01842,-10.2422,-0.265096,-0.104655,0.0719302,0.10282,-0.191466,0.883469,0.447958,0.400882,0.698659,1.93538,1.86115,0.585689,1.3036,1.54583,2.06675,7.6187,-0.165706,-0.151265,-0.281911,-0.721501,-1.38635,-3.16807,-0.186537
605,72,Female,Christian,Married,No,None,1,NA,,20260909002,-9.41612,-0.78248,-8.94379,-1.89154,-10.0748,-0.426598,-0.314457,-0.01218,-0.0938646,-0.299928,0.833497,0.345141,0.479566,0.654964,1.42238,1.70761,0.513292,1.2674,1.2719,1.86228,7.67964,-0.189347,-0.132818,-0.220162,-0.628214,-1.41791,-3.11115,-0.204393
606,63,Female,Not answered,Widowed,No,None,3,NA,,20260909002,-9.87299,-0.918139,-9.40675,-2.05317,-10.8354,-0.262675,-0.064108299999999993,0.105905,0.0244136,-0.0661856,1.08051,0.60708,0.511387,0.785424,1.91406,1.76002,0.52081,1.25346,1.37534,2.08528,8.10212,-0.127075,-0.0706003,-0.210511,-0.679936,-1.40494,-3.16818,-0.202279
607,57,Male,Christian,Married,Yes,Had COVID,3,NA,,20260909002,-9.6232,-0.919806,-8.9985,-1.93251,-10.5267,-0.161746,-0.0913308,0.118655,0.0701904,-0.158202,1.09793,0.644389,0.546984,0.792863,2.01993,1.74253,0.51564,1.10172,1.29049,2.09815,7.77738,-0.166222,-0.13907,-0.292,-0.701089,-1.35872,-3.16042,-0.180873
608,46,Male,No religion,Married,No,Had COVID,2,NA,,20260909002,-11.5163,-0.865665,-11.002,-1.92673,-11.9827,-0.299452,-0.140347,0.0121824,0.026235,-0.310279,1.00407,0.571329,0.4677,0.722137,1.72257,1.79754,0.510502,1.28757,1.23664,1.82162,9.70052,-0.252947,-0.12601,-0.256851,-0.621931,-1.40115,-3.11539,-0.187211
609,73,Female,Christian,Widowed,No,None,1,3,Communitarianism,20260909002,-11.65,-0.989256,-10.9167,-2.01875,-12.3646,-0.28381,-0.228683,0.0197472,0.00357301,-0.305961,1.15336,0.627108,0.576548,0.867663,1.89149,1.67997,0.553601,1.12359,1.29817,2.16842,9.74066,-0.192924,-0.118625,-0.308422,-0.723016,-1.41748,-3.18138,-0.191563
610,26,Male,No religion,Single,No,None,1,1,Scientific Rationalism,20260909002,-9.53649,-0.56681,-8.99678,-1.69279,-10.391,-0.470681,-0.296591,-0.044795,-0.223559,-0.32988,0.974032,0.416857,0.404916,0.635684,1.82262,1.61221,0.275879,1.03771,1.20211,1.97808,8.0175,-0.173245,-0.138265,-0.231017,-0.711543,-1.35672,-3.14374,-0.156471
611,44,Female,No religion,Married,No,None,3,3,Communitarianism,20260909002,-9.73512,-0.800599,-9.09728,-1.72318,-10.4419,-0.284397,-0.269218,-0.0392633,-0.149853,-0.428928,0.923185,0.478881,0.51084,0.625707,2.05385,1.74377,0.499336,1.15482,1.21434,2.08691,7.92262,-0.152517,-0.0943757,-0.219529,-0.606964,-1.4061,-3.14895,-0.201955
612,24,Male,Christian,Single,No,Had COVID,2,NA,,20260909002,-9.0756,-1.13136,-8.333,-2.11378,-9.87248,-0.0375454,-0.108597,0.0370521,0.0374381,-0.104193,1.13571,0.644088,0.580721,0.741085,2.04299,2.10245,0.716781,1.36966,1.49316,2.33109,6.84786,-0.122511,-0.1318,-0.268409,-0.664625,-1.41315,-3.19291,-0.199563
613,87,Female,Christian,Married,No,None,2,NA,,20260909002,-11.0251,-0.766858,-10.5599,-1.95148,-11.7146,-0.372183,-0.16916,0.0164903,0.152165,-0.313531,0.897024,0.380778,0.521304,0.799318,1.72318,1.82626,0.590674,1.3147200000000001,1.21814,2.15311,9.29341,-0.187627,-0.14705,-0.282334,-0.692895,-1.43096,-3.18643,-0.209668
614,53,Male,Christian,Divorced,Yes,Long COVID,3,NA,,20260909002,-10.0478,-0.76944,-9.62968,-1.94956,-10.703,-0.248528,-0.134596,0.0604322,0.0377629,-0.214864,0.942939,0.415125,0.586884,0.604088,1.5481,1.68974,0.338479,1.32306,1.35609,1.98528,8.30361,-0.183158,-0.100503,-0.255207,-0.61795,-1.42162,-3.17061,-0.200406
615,43,Female,Christian,Single,Yes,None,2,NA,,20260909002,-9.6888,-0.930085,-9.00987,-2.07907,-10.4083,-0.18631,-0.189896,-0.0625144,-0.0345665,-0.21212,1.19172,0.584017,0.650518,0.967718,1.77758,1.8662,0.622682,1.2834,1.4615,2.27406,7.70082,-0.144242,-0.0803184,-0.255073,-0.611528,-1.40415,-3.07919,-0.176043
616,33,Female,Muslim,Widowed,No,Had COVID,1,NA,,20260909002,-8.12431,-0.528723,-7.60873,-1.55905,-8.76129,-0.333652,-0.191153,-0.0175188,-0.121761,-0.363963,0.729711,0.201714,0.303919,0.495485,1.51346,1.6109,0.261818,1.07662,1.09408,1.83729,6.55938,-0.147705,-0.12066,-0.269857,-0.730358,-1.42998,-3.19644,-0.194107
617,90,Female,Christian,Widowed,No,Had COVID,4,NA,,20260909002,-9.65018,-0.862047,-8.96858,-1.87948,-10.3322,-0.351709,-0.200904,-0.127457,-0.250263,-0.3759,1.25963,0.668159,0.595345,0.937598,2.11727,1.94861,0.546827,1.27583,1.38139,2.18074,7.74661,-0.211125,-0.140793,-0.215666,-0.617673,-1.3787,-3.15377,-0.227208
618,70,Male,No religion,Married,No,None,1,NA,,20260909002,-9.36842,-0.722825,-8.79258,-1.90946,-9.90952,-0.164319,-0.0441642,0.0780624,-0.125875,-0.104801,1.18022,0.529023,0.538267,0.817976,1.67481,1.67576,0.379206,1.09324,1.2911,1.839,7.60808,-0.151868,-0.039956,-0.244147,-0.625196,-1.38269,-3.086,-0.210497
619,72,Male,No religion,Divorced,No,Bereaved,1,NA,,20260909002,-9.89539,-1.02465,-9.07573,-1.8612,-10.2996,-0.0712217,-0.0549216,5.88751e-4,-0.0592669,-0.1845,1.33042,0.824165,0.746097,0.992408,1.89858,1.82086,0.494215,1.24846,1.34454,1.87485,7.79118,-0.22951,-0.18433,-0.30322,-0.680104,-1.40389,-3.10314,-0.205447
620,67,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-9.01353,-0.838967,-8.52711,-2.06916,-9.65595,-0.0390664,0.0760109,0.137234,0.236891,-0.181743,0.969091,0.363844,0.433973,0.751022,1.73658,1.51872,0.312893,1.15742,1.32846,1.70514,7.21232,-0.121655,-0.0901569,-0.24124,-0.61418,-1.38161,-3.10958,-0.173853
621,35,Female,No religion,Widowed,Yes,Had COVID,2,NA,,20260909002,-10.7744,-0.857239,-9.98334,-1.8314,-11.2621,-0.119879,-0.17624,-0.0225979,6.02244e-4,-0.298168,1.05058,0.456084,0.471095,0.630276,1.67652,1.89545,0.604776,1.25512,1.25779,2.11774,8.79512,-0.196739,-0.171727,-0.230929,-0.662659,-1.38882,-3.09845,-0.195365
622,87,Male,Christian,Widowed,No,None,1,NA,,20260909002,-11.9885,-1.00905,-11.3218,-2.12444,-12.4422,-0.119266,-0.00985285,0.035368,-0.00605315,-0.0842762,1.1237,0.544396,0.64837,0.931092,1.65569,2.0256,0.650919,1.35935,1.57193,2.08482,9.9157,-0.159309,-0.0941222,-0.298472,-0.671865,-1.45618,-3.23051,-0.197529
623,28,Male,Christian,Married,No,None,4,NA,,20260909002,-11.4643,-0.791874,-10.7657,-1.84736,-11.9701,-0.314968,-0.26407,0.0368715,-0.105987,-0.344939,1.21291,0.505023,0.456118,0.880007,1.64264,1.89947,0.523255,1.23328,1.24092,2.00544,9.56396,-0.193165,-0.133919,-0.267692,-0.669594,-1.37858,-3.11301,-0.216713
624,61,Male,No religion,Single,No,None,1,NA,,20260909002,-9.8029,-0.855592,-9.36759,-1.90034,-10.5642,-0.275061,-0.0754142,0.0156515,-0.00114798,-0.10624,0.865658,0.436501,0.481485,0.722509,1.71735,1.81652,0.554211,1.32362,1.36088,1.96611,8.07163,-0.167496,-0.101388,-0.231139,-0.611805,-1.43744,-3.17975,-0.228463
625,40,Female,No religion,Widowed,No,Had COVID,3,NA,,20260909002,-9.50724,-0.759546,-8.8988,-1.93155,-10.0912,-0.0741232,-0.0561033,0.0520345,0.0205296,0.022863,0.78724,0.295068,0.363186,0.674132,1.50939,1.75085,0.387757,1.15312,1.38389,1.86055,7.70532,-0.218206,-0.176023,-0.235671,-0.670636,-1.38216,-3.09751,-0.194444
626,30,Male,Christian,Married,Yes,None,4,NA,,20260909002,-9.48734,-0.765954,-8.98452,-1.90932,-10.1873,-0.412934,-0.261813,-0.0915908,-0.172205,-0.399914,0.955939,0.318359,0.478469,0.677644,1.76674,1.76902,0.475143,1.25115,1.34459,2.10757,7.72336,-0.154314,-0.094315,-0.238331,-0.642413,-1.38721,-3.11777,-0.200089
627,33,Female,Muslim,Single,Yes,None,1,5,Institutional Trust and Technocratic Governance,20260909002,-8.95183,-0.971063,-8.36426,-2.03815,-9.55982,-0.0191919,0.0478759,0.215451,0.308906,-0.156561,1.17878,0.632082,0.546849,0.794728,1.92534,1.61562,0.425163,1.13958,1.08127,1.81338,7.03367,-0.227368,-0.175102,-0.266038,-0.674967,-1.40516,-3.13129,-0.224496
628,62,Male,Other religion,Married,No,Had COVID,3,NA,,20260909002,-9.9248,-0.866271,-9.51701,-1.84073,-10.7483,-0.441525,-0.222447,0.109586,0.0746492,-0.349982,1.14072,0.700556,0.679288,0.849476,2.05449,1.55369,0.45765,1.17703,1.10628,1.97867,8.19894,-0.177493,-0.130693,-0.247592,-0.676148,-1.42424,-3.14444,-0.193147
629,41,Female,No religion,Single,No,None,4,NA,,20260909002,-10.0191,-1.04583,-9.49016,-2.03089,-10.8597,-0.0989542,0.0345905,0.114763,0.0553599,-0.00610426,0.899785,0.432008,0.62956,0.909494,1.94272,1.79148,0.640069,1.37605,1.33247,2.23572,8.0653,-0.158114,-0.117552,-0.22597,-0.647627,-1.40473,-3.05081,-0.14602299999999999
630,42,Female,Christian,Married,Yes,Had COVID,4,NA,,20260909002,-7.63781,-0.876033,-6.85604,-1.8241,-8.1355,-0.358156,-0.184971,0.0864139,-0.032936,-0.35373,1.10299,0.407543,0.474192,0.740819,1.70101,2.00465,0.567192,1.17268,1.2412,2.16216,5.6041,-0.192665,-0.123543,-0.310381,-0.727002,-1.42281,-3.14324,-0.181485
631,26,Female,No religion,Married,No,Had COVID,1,NA,,20260909002,-9.6851,-1.02189,-9.0195,-2.0668,-10.2427,-0.264617,0.0254224,0.0891709,0.0226744,0.0732207,1.09045,0.477175,0.57938,0.814641,1.72401,2.0236,0.589106,1.30206,1.43725,1.977,7.65479,-0.245939,-0.0929372,-0.277817,-0.647398,-1.40809,-3.10836,-0.18572
632,60,Male,No religion,Married,No,None,1,NA,,20260909002,-10.1424,-0.46371,-9.76525,-1.5032,-10.8896,-0.518004,-0.421763,-0.0431168,-0.202388,-0.497554,0.627246,0.15943,0.329726,0.429593,1.56506,1.73566,0.395502,1.25373,1.3347,1.88032,8.72276,-0.196218,-0.153382,-0.252708,-0.723997,-1.35459,-3.09914,-0.242892
633,38,Female,Christian,Single,Yes,Had COVID,4,NA,,20260909002,-12.6737,-0.884014,-11.9894,-1.99525,-13.3254,-0.216394,-0.0341002,0.116087,0.0469683,-0.0213669,1.06446,0.30339699999999997,0.539099,0.820488,1.52735,1.87788,0.523158,1.26546,1.28872,2.09944,10.7793,-0.194047,-0.11381,-0.229701,-0.646957,-1.38674,-3.11349,-0.180544
634,36,Male,Christian,Widowed,Yes,Bereaved,4,NA,,20260909002,-8.75332,-0.706876,-8.2999,-1.76496,-9.43112,-0.3118,-0.162922,-0.0150713,-0.0723578,-0.238427,0.969039,0.404203,0.517643,0.663183,1.57549,1.63391,0.342831,1.1736,1.11306,1.84163,7.04788,-0.173393,-0.106568,-0.236129,-0.62809,-1.4482,-3.15378,-0.177254
635,18,Male,Christian,Single,No,None,4,NA,,20260909002,-10.5702,-0.791189,-9.84148,-1.75514,-11.0803,0.0136685,0.0719762,0.15316,0.0910964,-0.133692,0.957998,0.353646,0.288296,0.583603,1.60493,1.53035,0.199974,0.902318,0.968025,1.65441,8.70855,-0.137789,-0.14359,-0.262588,-0.638626,-1.46361,-3.19701,-0.199325
636,54,Male,Christian,Married,No,Had COVID,2,NA,,20260909002,-10.0295,-0.889102,-9.51065,-1.96457,-10.894,-0.244114,-0.0873312,0.00134148,-0.0533997,-0.107443,1.11473,0.677421,0.688932,0.910087,1.89317,1.86655,0.556635,1.29616,1.48475,2.0954,8.26685,-0.193185,-0.155895,-0.237627,-0.685465,-1.41138,-3.15575,-0.180979
637,31,Male,No religion,Single,No,None,1,NA,,20260909002,-8.42825,-0.901232,-7.8097,-2.00414,-9.12815,-0.121762,-0.0368199,0.0518605,0.0657304,-0.160946,0.847934,0.349887,0.438105,0.687682,1.5491,1.7914,0.513507,1.28976,1.525,2.02852,6.56336,-0.192436,-0.149507,-0.248127,-0.697788,-1.37603,-3.11613,-0.165472
638,28,Male,Christian,Single,No,None,4,NA,,20260909002,-10.1285,-0.848731,-9.39204,-1.85224,-10.6678,-0.19876,-0.111353,0.0614868,0.0607697,-0.147679,1.13671,0.432456,0.419727,0.73848,1.61753,1.95111,0.568447,1.17766,1.24121,1.92569,8.20582,-0.174517,-0.14335,-0.246113,-0.69856,-1.42747,-3.1582,-0.176189
639,38,Male,Christian,Married,No,Had COVID,2,NA,,20260909002,-9.36278,-1.06145,-8.68687,-1.95206,-10.2811,0.122673,0.171162,0.14449,0.106119,0.149599,0.885894,0.466337,0.445102,0.589164,1.91719,1.86172,0.633304,1.27294,1.29022,2.26508,7.33672,-0.141682,-0.0482148,-0.266912,-0.579443,-1.36361,-3.11804,-0.145749
640,56,Male,Christian,Married,No,None,3,NA,,20260909002,-9.22943,-0.824716,-8.8598,-1.85691,-9.979,-0.525888,-0.2236,0.0153158,-0.202105,-0.378112,1.03262,0.495105,0.521459,0.667797,1.70471,1.78439,0.563209,1.25415,1.29319,1.93479,7.55035,-0.207266,-0.129534,-0.246915,-0.669158,-1.36772,-3.11523,-0.226902
641,89,Female,Not answered,Married,No,None,3,NA,,20260909002,-9.8029,-0.855592,-9.36759,-1.90034,-10.5642,-0.275061,-0.0754142,0.0156515,-0.00114798,-0.10624,0.865658,0.436501,0.481485,0.722509,1.71735,1.81652,0.554211,1.32362,1.36088,1.96611,8.07163,-0.167496,-0.101388,-0.231139,-0.611805,-1.43744,-3.17975,-0.228463
642,45,Female,No religion,Married,Yes,None,2,NA,,20260909002,-11.0064,-0.910642,-10.3695,-1.79118,-11.7622,-0.35259,-0.194745,0.056233,0.0241737,-0.208083,1.02683,0.608166,0.488706,0.546286,1.85573,1.91661,0.61267,1.23397,1.27973,2.03248,9.22335,-0.18373,-0.133648,-0.291006,-0.709146,-1.40032,-3.12553,-0.142309
643,49,Female,Hindu,Married,Yes,Had COVID,2,NA,,20260909002,-9.86224,-0.850603,-9.32577,-1.76903,-10.5528,-0.313897,-0.178742,-0.00894643,-0.0129656,-0.207307,0.878129,0.449863,0.324657,0.426619,1.40508,1.86338,0.691355,1.2051,1.28325,1.97137,8.19213,-0.121895,-0.0923292,-0.196181,-0.625763,-1.35327,-3.12079,-0.190537
644,73,Male,Christian,Divorced,No,None,1,NA,,20260909002,-9.31837,-0.771635,-8.79277,-1.7763,-9.99679,-0.254689,-0.124428,-0.0275083,-0.177665,-0.258806,0.800921,0.261299,0.455182,0.619764,1.47838,1.67885,0.399347,1.18379,1.28033,1.98341,7.57192,-0.1623,-0.13095,-0.259172,-0.671126,-1.42721,-3.15501,-0.174765
645,87,Female,Christian,Married,No,None,2,NA,,20260909002,-9.62968,-0.733835,-9.16943,-1.71649,-10.4184,-0.247439,-0.175501,0.0579043,-0.0567048,-0.0929713,1.0829,0.41344,0.446216,0.583127,1.51543,1.74931,0.478411,1.22436,1.07091,1.98632,7.93364,-0.182782,-0.14272,-0.179342,-0.609366,-1.35326,-3.06573,-0.160253
646,55,Female,No religion,Married,No,Had COVID,4,NA,,20260909002,-9.1482,-0.990388,-8.54327,-2.11206,-9.92076,-0.208649,-0.105194,0.0765337,0.120597,-0.200401,1.25241,0.670817,0.617345,1.05735,1.88558,1.89301,0.646575,1.25058,1.56043,2.01164,7.2439,-0.177977,-0.147853,-0.215928,-0.651929,-1.37095,-3.07621,-0.182312
647,32,Female,Christian,Single,No,Had COVID,2,NA,,20260909002,-10.7141,-0.963415,-10.0919,-1.82931,-11.4552,-0.0188958,0.165863,0.211315,0.21535,0.159272,0.884698,0.339878,0.392781,0.53281,1.62846,1.91329,0.748914,1.31246,1.21,2.33672,8.84481,-0.160622,-0.0893419,-0.213209,-0.656656,-1.41674,-3.11209,-0.199955
648,31,Female,Christian,Married,Yes,Had COVID,4,NA,,20260909002,-8.63346,-0.992403,-8.0279,-1.99883,-9.41769,-0.251411,0.00323485,0.12181,0.115215,-0.0321412,1.15095,0.669454,0.602033,0.927734,1.91714,1.88476,0.584664,1.27455,1.33351,2.09913,6.68782,-0.201349,-0.14405,-0.256217,-0.656573,-1.39169,-3.14359,-0.197989
649,49,Male,Christian,Married,Yes,Had COVID,3,NA,,20260909002,-10.3305,-1.00819,-9.69866,-2.03241,-11.2027,-0.218825,0.0340509,0.0327808,0.107353,1.98984e-4,1.25892,0.684776,0.634013,0.884251,2.13173,1.88709,0.575259,1.29558,1.32808,2.23603,8.37965,-0.163867,-0.161566,-0.270371,-0.677148,-1.43456,-3.19374,-0.170953
650,60,Male,Christian,Married,No,Had COVID,4,NA,,20260909002,-9.12125,-0.651214,-8.6582,-1.72524,-9.71021,-0.491748,-0.337976,-0.0133296,-0.361552,-0.41942,0.989497,0.441287,0.470929,0.74381,1.85085,1.67163,0.408757,1.2458,1.19762,1.83119,7.41832,-0.20298,-0.138386,-0.263097,-0.681582,-1.41417,-3.1869,-0.203972
651,63,Male,No religion,Married,No,Had COVID,2,5,Institutional Trust and Technocratic Governance,20260909002,-11.1334,-0.861542,-10.441,-1.91145,-11.6321,-0.103127,-0.100815,0.253558,0.0108171,-0.146406,0.970008,0.354946,0.375426,0.680432,1.6012,1.79435,0.445409,1.18739,1.14309,1.99258,9.18639,-0.187844,-0.0849641,-0.261079,-0.665419,-1.38506,-3.05738,-0.195365
652,32,Female,No religion,Single,Yes,Bereaved,1,NA,,20260909002,-7.3981,-0.858036,-6.915,-2.11641,-8.04788,-0.15527,-0.0268229,0.106683,0.0575515,-0.083826,1.01912,0.503682,0.511791,0.974684,1.72078,1.66206,0.368756,1.21938,1.42936,1.75767,5.56118,-0.127081,-0.0966251,-0.203126,-0.644147,-1.4415,-3.15679,-0.182717
653,64,Female,Muslim,Single,No,Bereaved,4,NA,,20260909002,-11.2245,-0.975424,-10.5869,-1.79172,-11.8349,-0.286967,-0.19027,0.0589394,-0.0557643,-0.149812,1.30264,0.80205,0.638788,0.656909,1.96792,1.89169,0.610444,1.28513,1.19721,1.99688,9.30152,-0.178258,-0.154974,-0.243106,-0.628059,-1.38434,-3.08808,-0.202105
654,81,Female,No religion,Married,No,Had COVID,4,NA,,20260909002,-10.0426,-0.902135,-9.56259,-1.84612,-10.7658,-0.312738,-0.0749524,-0.00833431,-0.0208162,-0.231258,0.825599,0.450567,0.551,0.688333,1.7377,1.44273,0.306985,1.08962,1.03429,1.8109,8.33739,-0.151363,-0.142838,-0.229144,-0.615405,-1.39116,-3.07358,-0.16543
655,79,Male,Christian,Married,No,Had COVID,1,NA,,20260909002,-10.4478,-0.909353,-9.97618,-2.00195,-11.2144,-0.138054,0.0972114,0.0465317,0.106649,0.047611,1.00631,0.576718,0.685717,0.913515,1.9468,1.68717,0.369896,1.36262,1.32502,1.88128,8.60865,-0.216156,-0.155292,-0.247397,-0.69853,-1.42389,-3.11733,-0.214021
656,38,Female,Muslim,Married,Yes,Had COVID,1,NA,,20260909002,-10.4948,-0.942001,-9.88774,-1.85711,-11.4553,-0.448322,-0.190671,-0.0683451,-0.199579,-0.193602,1.06252,0.711964,0.602227,0.895488,2.09789,2.04115,0.66375,1.3377,1.35876,2.2967,8.67152,-0.161467,-0.132156,-0.212277,-0.677346,-1.4002,-3.13412,-0.167141
